ID Global,Code Série,Titre de la Vidéo,Concept / Playlist,Texte Miniature,Visuel Miniature,Hook (0-15s),Mots-Clés (15 tags),Description Complète
EP#12,CAR-03,How to Speak Better in Meetings at Work | Easy Business English,Career & Professional,CRUSH YOUR MEETINGS,Table de conférence stylisée avec Leo prenant des notes,Want to share your opinion in a meeting but you're too afraid to interrupt? We've got you covered.,"#speakenglishwithflow, #englishmeetings, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn the key phrases to interrupt politely and share your ideas in English business meetings. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#13,MIND-05,Overcoming Social Anxiety When Speaking English,Mindset & Confidence,STOP ANXIETY,"Maya respirant calmement, fond bleu apaisant",Why your brain goes blank when speaking English and how to calm down.,"#speakenglishwithflow, #socialanxiety, #englishconfidence, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how to manage social anxiety and stay calm during English conversations. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#14,LIFE-04,How to Order Coffee and Food in English Like a Native,Daily Life & Fluency,ORDER LIKE A PRO,Tasse de café avec le texte 'I will have...',Simple phrases for ordering food and coffee without hesitating or panicking.,"#speakenglishwithflow, #ordercoffee, #dailylifeenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We cover the exact phrases native speakers use to order food and coffee. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#15,CAR-04,How to Deal with Difficult People in English | Real Life Situations,Career & Professional,STAY CALM,"Leo regardant une montre, expression patiente",How do you stay calm and polite when a conversation gets uncomfortable?,"#speakenglishwithflow, #difficultpeople, #politeenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how to handle difficult people and tense situations gracefully in English. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#16,LIFE-05,The Art of Small Talk: How to Make Friends in English,Daily Life & Fluency,MAKE FRIENDS,Maya et Leo riant ensemble,How to turn a complete stranger into a friend in just 5 minutes of small talk.,"#speakenglishwithflow, #smalltalk, #makefriends, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Master the art of small talk and learn how to connect with people effortlessly. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#17,MIND-06,How to Think Fast in English Under Pressure,Mindset & Confidence,THINK FAST!,Cerveau en néon lumineux avec un chronomètre,Quick mental tricks to respond immediately in English without freezing.,"#speakenglishwithflow, #thinkfast, #englishunderpressure, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Discover techniques to think faster and respond naturally under pressure. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#18,LIFE-06,Daily English Habits That Actually Work (In 15 Minutes a Day),Daily Life & Fluency,15 MIN HABITS,Calendrier avec des coches vertes,You do not need 2 hours a day to become fluent. Here is what actually works.,"#speakenglishwithflow, #englishhabits, #dailyenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We discuss the 15-minute daily habits that will transform your English fluency. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#19,CAR-05,How to Disagree Politely with Your Boss or Colleague in English,Career & Professional,POLITE DISAGREEMENT,Leo avec une posture ouverte et respectueuse,Soft words that make your disagreement sound professional and respectful.,"#speakenglishwithflow, #disagreepolitely, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn the diplomatic phrases you need to disagree politely at work. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#20,MIND-07,How to Stop Overthinking Your Words When Speaking English,Mindset & Confidence,STOP OVERTHINKING,Maya pointant sa tête avec un sourire,Trust the English you already know instead of searching for the perfect word.,"#speakenglishwithflow, #stopoverthinking, #englishfluency, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We explain how to stop overthinking and start trusting your vocabulary. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#21,LIFE-07,Making Plans with Friends in English | Natural Conversation Practice,Daily Life & Fluency,MAKE PLANS,Téléphone affichant des messages amicaux,How to invite people out and accept or refuse invitations naturally.,"#speakenglishwithflow, #makingplans, #socialenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn the casual phrases native speakers use to make weekend plans. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#22,CAR-06,Phone Calls in English: How to Understand Everyone clearly,Career & Professional,PHONE CALLS EASY,Icône de téléphone avec ondes sonores nettes,What to say when the connection is bad or they speak too fast on the phone.,"#speakenglishwithflow, #phonecalls, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Master phone call etiquette and learn how to ask people to repeat themselves politely. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#23,MIND-08,How to Stay Calm When You Forget a Word in English,Mindset & Confidence,FORGOT A WORD?,Maya haussant les épaules en souriant,What to do when your mind goes completely blank in the middle of a sentence.,"#speakenglishwithflow, #forgetaword, #englishfluency, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn the art of paraphrasing so you never get stuck when you forget a word. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#24,MIND-09,How to Build Unstoppable Confidence in English in 2026,Mindset & Confidence,UNSTOPPABLE!,Leo avec une posture de leader confiant,Change your relationship with the English language forever and speak boldly.,"#speakenglishwithflow, #unstoppableconfidence, #speakboldly, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We share the ultimate mindset shift to build unstoppable confidence in your speaking skills. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#25,LIFE-08,How to Talk About Your Past and Future Goals in English,Daily Life & Fluency,PAST & FUTURE,Flèche temporelle avec mots clés simples,Expressing your life story naturally without stressing over verb tenses.,"#speakenglishwithflow, #englishgoals, #englishstorytelling, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Discover how to talk about your past experiences and future dreams smoothly. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#26,CAR-07,How to Express Strong Opinions in English Respectfully,Career & Professional,STRONG OPINIONS,Maya discutant avec passion mais respect,Phrases to sound authoritative and confident without sounding aggressive.,"#speakenglishwithflow, #strongopinions, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how to state your opinions strongly while maintaining respect in professional settings. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#27,MIND-10,How to Stop Feeling Intimidated by Native English Speakers,Mindset & Confidence,NO FEAR!,Poignée de main amicale avec un anglophone natif,Native speakers are human too. Here is how to bridge the cultural gap.,"#speakenglishwithflow, #nativespeakers, #nofear, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We help you overcome the intimidation factor when speaking with native English speakers. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#28,LIFE-09,Travel English: How to Handle Unexpected Problems Abroad,Daily Life & Fluency,TRAVEL ENGLISH,Icône d'avion et de valise,"From lost luggage to wrong restaurant orders, learn how to handle travel issues.","#speakenglishwithflow, #travelenglish, #dailylifeenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Equip yourself with essential vocabulary to handle unexpected travel problems calmly. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#29,CAR-08,How to Be More Persuasive in English | Advanced Conversation,Career & Professional,BE PERSUASIVE,Leo présentant un argument avec clarté,How to win arguments smoothly and persuade people in English.,"#speakenglishwithflow, #persuasiveenglish, #advancedenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn advanced conversational techniques to become more persuasive in your discussions. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#30,MIND-11,How to Fix Your Pronunciation Without Losing Your Accent,Mindset & Confidence,CLEAR PRONUNCIATION,Ondes sonores claires sortant de la bouche,Your accent is your identity. Focus on clarity instead of losing it completely.,"#speakenglishwithflow, #englishpronunciation, #englishaccent, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We explain why your accent is beautiful and how to focus purely on clear pronunciation. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#31,LIFE-10,How to Handle Embarrassing Mistakes in English with Humor,Daily Life & Fluency,LAUGH IT OFF,Maya et Leo éclatant de rire,Turn a funny English mistake into a great story instead of feeling ashamed.,"#speakenglishwithflow, #englishmistakes, #laughitoff, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Discover the power of humor when dealing with embarrassing language mistakes. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#32,MIND-12,30-Day English Challenge: How Your English Changed This Month,Mindset & Confidence,CHALLENGE COMPLETE!,Trophée brillant avec le chiffre 30,Celebrating your amazing progress and looking forward to the next step.,"#speakenglishwithflow, #30daychallenge, #englishprogress, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Let us review the incredible progress you have made over the last 30 days of daily English practice. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#33,LIFE-11,Describing Your Feelings in English Beyond 'Happy' and 'Sad',Daily Life & Fluency,REAL EMOTIONS,Maya avec une roue des émotions multicolore,Stop using basic words for complex feelings. Learn real emotional vocabulary.,"#speakenglishwithflow, #englishemotions, #englishvocabulary, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We explore how to describe your true feelings using advanced emotional vocabulary. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#34,CAR-09,How to Network in English Without Sounding Fake,Career & Professional,REAL NETWORKING,Leo échangeant des contacts avec un collègue,Networking feels awkward. Here is how to make genuine professional connections in English.,"#speakenglishwithflow, #englishnetworking, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how to network naturally and build real professional relationships. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#35,MIND-13,Stop Translating Word for Word | Think in Phrases Instead,Mindset & Confidence,THINK IN CHUNKS!,Blocs de texte s'emboîtant comme un puzzle,Stop reading single words. Start learning chunks and phrases for true fluency.,"#speakenglishwithflow, #thinkinenglish, #learnphrases, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We teach you how to think in chunks and phrases to speak much faster. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#36,LIFE-12,How to Understand British vs American Accents Easily,Daily Life & Fluency,UK VS US ACCENT,Drapeaux UK et US fusionnés derrière Maya et Leo,Water or wa'er? Understand the main differences without getting confused.,"#speakenglishwithflow, #britishvsamerican, #englishaccents, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We compare British and American accents to improve your global listening skills. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#37,CAR-10,How to Ask for a Pay Raise in English Confidently,Career & Professional,GET THAT RAISE!,Leo ajustant sa cravate avec assurance,Asking for money is stressful. Asking in English? We have the perfect script for you.,"#speakenglishwithflow, #salarynegotiation, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how to confidently negotiate your salary and ask for a raise. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#38,MIND-14,How to Bounce Back After a Bad English Conversation,Mindset & Confidence,BOUNCE BACK!,Maya souriante effaçant un tableau noir de doutes,We all have bad days. Here is how to recover when a conversation goes wrong.,"#speakenglishwithflow, #bounceback, #englishconfidence, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Discover how to recover your confidence after a frustrating English interaction. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#39,LIFE-13,Talking About Hobbies and Passions in English,Daily Life & Fluency,WHAT DO YOU DO?,Leo tenant un appareil photo et Maya un livre,How to talk about what you love doing in your free time with excitement.,"#speakenglishwithflow, #englishhobbies, #dailylifeenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn the best vocabulary to discuss your hobbies and passions enthusiastically. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#40,CAR-11,Giving Constructive Feedback in English Without Offending Anyone,Career & Professional,GIVE FEEDBACK,Maya avec un bloc-notes et une expression bienveillante,How to tell someone they made a mistake while staying polite and professional.,"#speakenglishwithflow, #givefeedback, #businessenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Master the art of delivering constructive feedback gracefully in the workplace. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#41,MIND-15,Embracing the Plateau: What to Do When Your English Stops Improving,Mindset & Confidence,BREAK THE PLATEAU,Ligne de progression qui remonte brusquement,Feeling stuck at B1/B2? Here is exactly how to break through the intermediate plateau.,"#speakenglishwithflow, #englishplateau, #englishprogress, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We discuss the intermediate plateau and how to push your English to the next level. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
